,Unnamed: 0,LICENSED,INSTRUCTIONAL,CLASSROOM,Unnamed: 4,Unnamed: 5
14,LAWRENCE CO,"49,682","49,423","47,480","73,242","121,540"
15,LEWIS CO,"48,959","48,524","46,532","76,647","110,911"
16,LINCOLN CO,"51,674","51,189","48,529","85,181","128,905"
17,FAYETTEVILLE,"51,782","51,221","48,206","79,222","118,220"
18,LOUDON CO,"50,805","50,411","47,660","82,776","129,520"
19,LENOIR CITY,"56,582","55,922","52,836","90,727","132,690"
20,MCMINN CO,"51,536","51,318","49,123","79,530","114,538"
21,ATHENS,"59,050","58,586","55,254","98,858","126,380"
22,ETOWAH,"54,070","52,037","48,182","83,138","58,000"
23,MCNAIRY CO,"45,956","45,748","44,326","72,410","101,975"
24,MACON CO,"48,255","47,975","45,804","74,033","87,548"
25,MADISON CO,"51,571","51,170","48,908","84,961","168,281"
26,MARION CO,"48,906","48,601","46,331","70,984","114,385"
27,*RICHARD CITY,"43,165","42,226","41,364","59,300","63,345"
28,MARSHALL CO,"50,600","50,397","48,272","77,559","113,680"
29,MAURY CO,"50,294","49,989","47,787","88,736","180,000"
30,MEIGS CO,"52,565","52,144","49,633","72,803","113,775"
31,MONROE CO,"48,175","47,937","45,964","70,817","99,384"
32,SWEETWATER,"51,958","51,615","49,606","69,197","91,875"
33,MONTGOMERY CO,"55,261","55,166","52,503","95,957","171,536"
34,MOORE CO,"50,033","49,345","46,992","73,340","88,633"
35,MORGAN CO,"47,066","46,162","44,223","72,545","98,325"
36,OBION CO,"48,355","48,302","46,336","71,158","101,316"
37,UNION CITY,"51,508","50,800","48,318","88,408","127,920"
38,OVERTON CO,"44,632","44,352","42,734","63,263","83,257"
39,PERRY CO,"49,192","48,700","45,979","67,719","91,298"
40,PICKETT CO,"49,168","48,642","46,202","65,663","83,215"
41,POLK CO,"50,615","50,187","48,429","77,124","105,292"
42,PUTNAM CO,"49,303","49,093","47,186","74,008","103,000"
43,RHEA CO,"46,201","45,827","43,826","74,283","105,639"
44,DAYTON,"49,372","48,706","48,276","63,725","91,990"
45,ROANE CO,"52,600","52,461","50,470","78,674","120,000"
46,ROBERTSON CO,"46,637","46,177","44,548","74,412","150,000"
47,RUTHERFORD CO,"52,875","52,750","50,832","91,962","151,761"
48,MURFREESBORO,"54,837","54,693","52,562","88,215","117,832"
49,SCOTT CO,"46,172","45,770","43,994","62,645","85,819"
50,*ONEIDA,"47,075","46,634","44,093","76,213","87,500"
51,SEQUATCHIE CO,"48,359","48,120","46,463","73,347","89,760"
52,SEVIER CO,"52,709","52,502","50,356","91,611","149,248"
53,SHELBY CO,"59,413","59,214","56,456","1 01,644","277,070"
54,ARLINGTON,"62,382","61,307","58,891","1 07,598","157,570"
55,BARTLETT,"60,056","59,092","56,740","1 09,258","194,400"
56,COLLIERVILLE,"61,368","60,135","58,424","1 04,662","186,000"
57,GERMANTOWN,"61,376","59,817","57,769","1 07,143","170,000"
58,LAKELAND,"61,803","61,003","58,154","1 01,392","132,600"
59,MILLINGTON,"59,210","58,949","55,884","1 06,055","137,000"
60,SMITH CO,"45,572","44,945","42,951","64,385","124,995"
61,STEWART CO,"49,921","49,589","47,148","70,787","99,752"
0,,EDUCATORS,PERSONNEL,TEACHER,PRINCIPAL,SUPERINTENDENT
1,SULLIVAN CO,"48,357","48,098","46,787","73,351","132,600"
2,BRISTOL,"56,033","55,582","52,591","96,979","146,019"
3,KINGSPORT,"59,696","59,254","57,120","94,810","181,605"
4,SUMNER CO,"49,170","49,086","46,988","85,660","191,646"
5,TIPTON CO,"53,763","53,503","51,528","81,081","148,600"
6,TROUSDALE CO,"48,271","47,627","44,706","72,809","96,391"
7,UNICOI CO,"46,756","46,478","44,148","65,544","104,316"
8,UNION CO,"46,663","46,278","43,970","69,540","93,900"
9,VAN BUREN CO,"49,820","49,011","46,806","63,002","83,675"
10,WARREN CO,"47,864","47,594","45,881","72,458","105,629"
11,WASHINGTON CO,"49,743","49,618","48,087","66,154","127,500"
12,JOHNSON CITY,"59,714","59,451","56,971","99,255","166,934"
13,WAYNE CO,"48,209","47,973","46,135","70,226","97,422"
14,WEAKLEY CO,"47,134","46,907","44,837","74,995","128,120"
15,WHITE CO,"50,231","50,073","48,576","66,789","87,748"
16,WILLIAMSON CO,"54,174","53,994","51,309","1 12,518","260,000"
17,*FRANKLIN,"60,278","59,392","56,980","1 07,276","182,800"
18,WILSON CO,"50,603","50,418","48,049","90,542","165,000"
19,*LEBANON,"57,015","56,391","53,454","92,217","141,755"
20,Achievement School District,"56,814","56,814","54,373","91,425","220,000"
21,STATE AVERAGE,"52,732","52,455","50,099","86,384","119,664"
